Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Keen,Newport,https://runrepeat.com/keen-newport,,"Jan 1, 2024",Hiking,89.0,"Our verdict: We appreciated the lab-verified comfort and durability of the KEEN Newport. The sandal also impressed us during our tests because it needed zero break-in time, had great looks, and had excellent waterproofness. This sandal is indeed one that could be with us for long, even when it's exposed to the harshness of the elements.",,,,"Leather, Leather",,,"Comfortable hiking sandal, Durable construction, Well-cushioned platform, Wide and stable, OK for both hot and cold weather, Effective traction on various surfaces, Zero break-in period","Too heavy, Largely inflexible structure",27.0,17.7,9.3,22.4,,,,True to size,,3.0,,119.3,88.8,,,14.6,414.0,,,,84.8,0.6,2.1,$120,Yes,4.4,,Finger loop,,,,,3.1,,,,23.35,102.7,
Hoka,Hopara,https://runrepeat.com/hoka-hopara,,"Nov 27, 2023",Hiking,79.0,"Our verdict: We found the Hoka Hopara to be remarkably reassuring on the trails, even on slippery ones! With its steady base and generous cushioning, it felt on par with hiking shoes! Despite being heavier and pricier than most hiking sandals, we affirm that the Hopara can make your hikes quite inspiring and surefooted. You might even start a gorp-core trend wearing it back in your area!",,,,,,,"Excellent water drainage, Odor-free interiors, Very well cushioned, Extra wide and stable platform, Secure foothold, Plenty of toebox space, Supreme wet-surface traction, Highly resistant to abrasion","Flimsy heel strap, Not a light sandal",26.8,22.6,4.2,33.6,,,,True to size,,3.0,,125.1,100.0,,,12.59,357.0,,,,81.0,0.5,3.0,$135,Yes,2.7,,Finger loop,,,,,3.8,20.0,,,25.1,109.4,
Nike,Ja 2,https://runrepeat.com/nike-ja-2,,"Mar 12, 2025",Basketball,92.0,"Our verdict: Morant is back with another solid hooper. The Ja 2 is a low-profile shoe that offers wonderful traction and court feel for the fastest guards. Its lightweight yet springy build accompanied our most explosive moves during the wear tests, as its Air Zoom unit pushed us back up every time we landed after a rebound or a jump shot. Nevertheless, even though we're pretty happy with this Nike pair's performance, its materials feel as cheap as they ones from the previous iteration.",,,,,,,"Fantastic court feel, Air Zoom unit, Super lightweight, Awesome traction, Springy forefoot, No break-in needed, Feels very speedy, Quite breathable","Feels cheap, Not for streetball",26.1,22.2,3.9,33.5,,,4.2,Slightly small,27.4,4.0,4.0,111.2,87.4,,,11.85,336.0,4.0,3.0,3.0,79.5,1.1,3.5,$120,Yes,9.2,Both sides (full),,Yes,,,,,,,,31.7,90.7,70.5
Nike,Le Bron 22,https://runrepeat.com/nike-le-bron-22,,"Mar 13, 2025",Basketball,91.0,"Our verdict: The LeBron XXII brings back its old aesthetics to become a dream come true for bigger players, centers and power forwards alike! This hooper offered top tier traction and an incredibly supportive structure that kept us on our feet even if we had to fight our defenders at the post. But that's not all, as it also comes full of incredibly efficient cushioning technologies that work all together to make this shoe's shock absorption absolutely delightful. Nevertheless, this solid design and materials make this Nike pair heavier than average.",,,,,,,"Top-tier traction, Bouncy and responsive technologies, Fantastic shock absorption, Incredibly supportive, Great containment and stability, Made to last, Ideal for bigger players, No price increase so far","Heavy, Not breathable",27.1,21.3,5.8,30.5,,,4.6,True to size,22.1,5.0,3.0,115.6,85.4,,,15.56,441.0,1.0,4.0,4.0,76.5,0.7,3.9,$180,No,9.4,,,Yes,,,,,,,,33.7,91.4,67.2
Nike,Air Jordan Xxxix,https://runrepeat.com/air-jordan-xxxix,,"Oct 23, 2024",Basketball,90.0,"Our verdict: The tale of the Air Jordan XXXIX is the one of what could have been but never was. We felt we could reach the skies just like Jordan did thanks to the incredible bounce and energy return we felt every time we played. This also made the shoe incredibly comfortable, shielding us from the harsh court when we jumped. Nevertheless, the explosion of energy we felt on our feet was totally and dangerously uncontrolled. So, even though we found this AJ amazing for static shooting drills, it's too unstable for us to play comfortably quick with it.",,,,,,,"Air Unit + ZoomX foam combo, Unbelievable bounce and energy return, Fantastic shock absorption and impact protection, Couldn't be any more comfortable, Great for static shooting drills, Durable upper materials, Nice traction, Recycled content, Cool old-school design","Incredibly unstable, Overworks your feet and ankles, Midsole bottoms out prematurely, Pricey",27.1,19.9,7.2,16.5,,,4.4,True to size,24.0,4.0,3.0,110.9,85.7,,,13.9,394.0,1.0,4.0,3.0,79.0,0.9,3.0,$200,No,9.0,Both sides (semi),,Yes,,,,,,,,25.1,96.25,75.0
Nike,Gt Jump 2,https://runrepeat.com/nike-gt-jump-2,,"May 21, 2024",Basketball,88.0,"Our verdict: True to its name, the Nike G.T. Jump 2 really knows how to maximize your jumps. We are in awe of its innovative cushioning setup which loaded our takeoffs with the most explosive power! Not to mention its fantastic impact-absorbing qualities upon landing. We are convinced that this shoe is a treat for bigger players whose playing style involves lots of jumping blocks, dunks, and jump shots.",,,,,,,"Extra powerful energy return, Outstanding impact protection, Dependable grip on clean courts, Solid support and stability, Very secure foothold, Highly breathable upper, Fits to a T","Zero court feel, Not for outdoor courts, Heavier than average",35.6,29.2,6.4,16.0,,,5.6,True to size,22.6,5.0,4.0,119.8,90.1,,,15.59,442.0,4.0,4.0,4.0,87.6,1.9,5.8,$180,No,6.4,Bootie,,Yes,,,,,36.6,,,32.3,97.55,72.6
Nike,G T Cut 3,https://runrepeat.com/nike-g-t-cut-3,,"Jun 17, 2024",Basketball,88.0,"Our verdict: Nike went for a total revamp of the G.T. Cut 3 introducing it as the first-ever basketball shoe to use the cutting-edge ZoomX cushioning foam. This ultra-soft and responsive foam teamed up with the shoe's lightweight design to set our feet flying during the playtest! But as fun as that felt, we didn't think it was enough to justify the Cut 3's soaring price point. As a shoe that's meant for aggressive cuts, our primary concern was the lack of foot containment in the G.T. Cut 3. And we just couldn't let it slide.",,,,,,,"Exceptionally light and nimble, Super plush ZoomX cushioning, Amazing energy return and explosive toe-offs, Great balance of impact protection and court feel, Stable and rigid platform with an outrigger, Fantastic grip on clean courts, Excellent upper and outsole durability, Comfortable in-shoe feel","Upper lacks the expected support for cuts, Not for outdoor courts, Lacks breathabilty",27.0,21.5,5.5,14.0,,,4.7,True to size,23.5,5.0,3.0,114.5,82.6,,,11.82,335.0,1.0,4.0,2.0,86.5,0.5,3.2,$190,No,15.9,Bootie,,Yes,,,,,,,,37.150000000000006,99.94999999999999,71.3
Nike,Sabrina 2,https://runrepeat.com/nike-sabrina-2,,"Mar 13, 2025",Basketball,89.0,"Our verdict: Much like its older sibling, the Sabrina 1, this second iteration is here to create another revolution. Its top-tier performance and playability made us want to play with it over and over again, just like its incredibly lightweight and fast structure. Even though we barely felt it in our feet, it features super durable materials and a wonderful cushioning set up (the most advanced Cushlon foam + an Air Zoom unit). It also provides loads of court feel, yet this Nike's outsole will have a hard time withstanding outdoor courts if you're planning to wear it as much as we did.",,,,,,,"Top-tier performance and playability, Awesome cushioning setup, Feels super fast, Incredibly lightweight, Exceedingly durable upper, Surprisingly breathable, Lots of court feel, No break-in period, World-class traction","Not for streetball, Not the best for bigger players",24.6,17.3,7.3,22.1,,,3.5,True to size,24.9,3.0,4.0,115.7,90.1,,,11.96,339.0,4.0,5.0,5.0,71.9,1.1,3.8,$130,No,8.1,Both sides (full),,Yes,,,,,,,,19.4,92.3,70.4
Nike,Book 1,https://runrepeat.com/nike-book-1,,"Jun 17, 2024",Basketball,86.0,"Our verdict: The Nike Book 1 is the first signature shoe for Devin Booker, and it couldn't get any more stylish than that! The First Chapter of what we expect to be many more, we found this hooper to be the ideal partner for quick players who make last-minute decisions, dribbles, or cuts. Once the break-in period is over, its comfort levels go up like crazy. During our wear tests, we enjoyed the safety and snug feel of all its padding, as well as its coziness. Its traction was impressive, but what left us in awe were this shoe's incredible visuals. The Book 1 has a bball soul in an AF1 body, and we loved every bit of it! It doubles as a sneaker, but we wouldn't wear it in the summer: it's not breathable at all!",,,,,,,"Incredibly comfortable once broken-in, Wonderfully durable design, Smooth heel-to-toe transitions, Nice lockdown feel, Loads of padding, Great grip overall, OK for outdoors, Ideal for quick players, Very stylish: doubles as a sneaker","Not breathable at all, No forefoot Zoom Air, Has to be broken-in",26.9,19.9,7.0,26.6,,,4.8,Slightly small,21.1,5.0,5.0,113.7,83.6,,,13.62,386.0,1.0,4.0,5.0,80.2,1.0,4.0,$140,No,11.7,,Finger loop,Yes,,,,,,,,23.75,96.45,71.7
Adidas,Don Issue 6,https://runrepeat.com/adidas-don-issue-6,,"Mar 10, 2025",Basketball,92.0,"Our verdict: After our wear and lab tests, we can say the D.O.N. Issue #6 stands at the top of this series. Its supportive structure offered us wonderful containment and protection not only around our feet, as this shoe hugged them comfortably, but also underfoot! The best part is that this didn't come in a heavy design, as we moved quickly and safely through the court. The only issue here is that this Adidas hooper requires a break-in period. But don't worry, in our experience, it wasn't no way near as long and painful as other models' (yes LeBron 21, we're looking at you!).",,,,,,,"Fantastic containment and lockdown, Great support overall, Good impact protection, Wonderful traction, Pretty lightweight, Breathable structure, Comfortable, Flashy colorways, Value for money","Not the softest underfoot, Requires a break-in period",28.9,20.9,8.0,32.1,,,4.5,True to size,21.7,5.0,4.0,114.9,88.7,,,12.91,366.0,4.0,3.0,3.0,74.0,0.9,3.2,$120,Yes,11.0,Both sides (full),Finger loop,Yes,,,,,,,,32.2,94.3,67.4
Adidas,Dame 9,https://runrepeat.com/adidas-dame-9,,"Mar 11, 2025",Basketball,92.0,"Our verdict: Damian Lillard has brought us another wonderful performer for the court. The Dame 9 features a wonderfully supportive and stable structure that let us go for the riskier moves during our wear tests, and thanks to its impact protection and responsiveness, we were never afraid to jump and hit our defenders mid-air. The lockdown feel it provided is immaculate, yet its solid materials just unavoidably send it to the heavier hoopers category.",,,,,,,"Incredibly stable, Wonderful lockdown and secure feel, Responsive ride, Great impact protection, Fantastic lateral containment, Very comfortable, No heel slippage, Good traction on clean courts","On the heavier side, Picks up dust",27.8,20.1,7.7,23.6,,,4.1,True to size,22.7,5.0,4.0,120.1,93.0,,,14.71,417.0,2.0,4.0,4.0,81.5,0.8,3.1,$120,Yes,4.6,Bootie,Finger loop,Yes,,,,,,,,33.8,95.4,71.0
Nike,Gt Hustle 3,https://runrepeat.com/nike-gt-hustle-3,,"Aug 12, 2024",Basketball,82.0,"Our verdict: The G.T. Hustle 3 breaks completely with the previous iteration, offering an incredibly breathable and cushioned structure. We couldn't get enough of its wonderful Nike technologies (Zoom Air) during our wear tests, as they offered shock absorption, great bounce, and a comfortable ride. We enjoyed the snug fit of this Nike pair, as its lightweight design and fantastic traction helped us with faster moves (like back-door cuts, for example). The problem is that its high-quality design is not on the affordable side, as it also fixed many of the negative aspects of its predecessor. It's quite an investment, but we do believe it's definitely worth it!",,,,,,,"Full of Nike leading technologies, Wonderful impact protection and bounce, Great heel counter support, Lightweight design, Incredibly breathable, Fantastic traction, Good upper durability, Generously padded interiors, Pretty comfortable","No ground feel, Might feel unsafe for light players, Expensive",32.8,26.8,6.0,29.0,,,8.2,Half size small,24.3,4.0,4.0,116.5,88.2,,,13.05,370.0,5.0,4.0,4.0,84.3,1.2,4.0,$190,No,9.0,,,Yes,,,,,,,,39.25,97.3,76.25
Nike,Ja 1,https://runrepeat.com/nike-ja-1,,"Oct 11, 2023",Basketball,89.0,Our verdict: The anticipation for Ja Morant's first signature shoe with Nike is pretty much justified. The Nike Ja 1 is a total performer that we recommend for different kinds of players: from guards who appreciate a lot of energy return to heel strikers and bigger men who need good impact protection. It also feels comfortable enough to be worn off the court. You can really maximize the money spent on this hoop shoe.,,,,,,,"A true bang for the buck, Amazing grip on the court, Quite a supportive ride, Pretty comfortable wraparound, Great plushness around the heel, Good forefoot bounce, Durable structure, True-to-size fit, Stylish look","Cheap-feeling materials, Still has to be broken in",27.5,22.3,5.2,26.5,,,5.0,Slightly small,,5.0,4.0,115.4,82.4,,,12.73,361.0,3.0,5.0,5.0,83.1,1.6,3.5,$110,No,10.4,Both sides (semi),,Yes,,,,,,,,34.7,103.0,75.6
Jordan,Luka 3,https://runrepeat.com/jordan-luka-3,,"Aug 7, 2024",Basketball,90.0,"Our verdict: The Luka 3 is here to turn the hoopers' world upside down. Its flexible and accommodating structure breaks with the past stiffer versions, providing smooth transitions and movements that require constant bending of the ball of the foot (like pretty much any kind of fake, for example). It features an IsoPlate and heavily padded interiors that add up to the tough upper material to offer wonderful foot lockdown and containment. But our favorite part was the otherworldly traction the Luka 3 offered during our wear tests, outdoors and indoors. It bit the floor like no other shoe, which encouraged us to try more daring moves also thanks to its supportive and stable structure. The only drawback here is that it feels like Jordan didn't try hard with this shoe even with its price, as it doesn't feature very high-quality materials or specific Nike technologies.",,,,,,,"Absolutely insane traction, Great support and lockdown, Cushlon 3.0 that gives some extra pop, Stable jumps thanks to the IsoPlate, Good mix of impact protection and court feel, Generously padded yet spacious interiors, Comfortable in-shoe feel, Roomy toebox, Recycled materials","Feels cheap for its price, Doesn't have any specific Nike technologies, Not for streetball",27.0,20.9,6.1,20.5,,,4.2,Half size small,22.4,5.0,5.0,117.3,90.3,,,13.55,384.0,3.0,4.0,4.0,88.4,1.1,4.0,$130,No,11.8,,Finger loop,Yes,,,,,,,,21.0,100.15,76.4
Nike,Gt Cut Academy,https://runrepeat.com/nike-gt-cut-academy,,"Aug 13, 2024",Basketball,87.0,"Our verdict: The G.T. Cut Academy is the takedown model of the Nike G.T. Cut 3, but its affordable price tag comes full of advantages! This Nike pair features a tough upper and extra eyelets at the top that offer a customized fit. We enjoyed the containment and lockdown feel of this shoe in every step, as our cuts were propelled by its Zoom Air unit on the forefoot. Even though we could fly up and down the court thanks to its lightweight structure, this shoe's materials are not the most durable out there. If you're looking for a pair of hoopers that stay by your side for a longer time, investing in a more expensive model might be worth it!",,,,,,,"Extra eyelets that offer a customized fit, Fantastic lockdown feel and containment, Feels light and nimble on foot, Springy and bouncy, Great grip on clean courts, Nice impact protection, Features an Air Zoom unit in the forefoot, Affordable","Not the most durable, Lacks breathability",31.6,23.5,8.1,19.6,,,4.4,Slightly small,24.9,5.0,5.0,115.1,88.2,,,12.06,342.0,2.0,3.0,5.0,90.0,1.3,4.2,$95,No,11.0,Both sides (full),,Yes,,,,,,,,38.75,100.95,74.8
Nike,Kd 17,https://runrepeat.com/nike-kd-17,,"Aug 5, 2024",Basketball,88.0,"Our verdict: Get ready to reap not only souls but also hearts with Kevin Durant's new signature shoe, the KD 17. This Nike model offers incredible support thanks to its exoskeleton structure and TPU details. Additionally, its sole flare, Air Strobel (heel), and Zoom Air (forefoot) make sure the feet land safely and softly. We loved the way its wavy outsole bit the floor, winning the traction fight even against dusty courts. Last but not least, the KD 17's lateral guard for toe-dragging moves allows it to have a mesh upper that increases airflow, making it wonderful to play when temperatures go up. Nevertheless, its stable and foot-locking design is not the best for wide-foot hoopers, as their toes will most likely be cramped!",,,,,,,"Wonderful support and foot containment, Cushioned heel and snappy forefoot, Very padded and comfortable, Strong and consistent grip in every surface, Way more breathable than average, Okay to play streetball from time to time, Nice court feel, Toe-drag protection","Not for wide feet, Upper could be more durable, Opening might be too wide",26.1,20.5,5.6,23.1,,,4.2,True to size,23.5,4.0,4.0,114.9,86.8,,,13.76,390.0,4.0,3.0,4.0,87.1,0.9,4.0,$150,No,8.8,Both sides (full),,Yes,,,,,,,,29.700000000000003,96.15,68.4
New Balance,Two Wxy V5,https://runrepeat.com/new-balance-two-wxy-v5,,"Oct 24, 2024",Basketball,84.0,"Our verdict: The TWO WXY V5 is one of the safest bets you could possibly find. Its wonderful versatility and playability adapt smoothly to the different basketball positions, and it worked wonders on outdoor and indoor courts. We felt quick and energetic on the offense, and its stability and support made us feel safe and sound on the defense. Overall, we believe this New Balance pair gives you a little bit of everything, and as long as you don't mind break-in periods, you'll get to enjoy all its advantages. No matter if you're a beginner or a veteran hooper!",,,,,,,"Wonderful foot containment and lateral stability, Great bounce and shock absorption, Very supportive underfoot, Comfortable and soft, Okay to play streetball from time to time, Super versatile, Wide and stable platform, Optimal and consistent traction","Might need a break-in period, No court feel, Not many updates from v4",32.4,23.0,9.4,21.5,,,5.6,True to size,26.8,5.0,5.0,116.6,94.6,,,13.76,390.0,3.0,3.0,1.0,80.0,1.0,4.6,$120,No,12.5,Both sides (semi),Extended heel collar,Yes,,,,,14.5,,,18.85,96.45,74.6
Nike,Lebron Witness 7,https://runrepeat.com/nike-lebron-witness-7,,"Aug 8, 2023",Basketball,88.0,"Our verdict: In our opinion, up to a certain extent, the LeBron Witness 7 is practically just the Nike LeBron 20 but less pricey and more suitable for outdoor use. From aspects that are truly important such as traction and cushioning down to matters that are only peripherally valuable such as looks, we found that the LeBron Witness 7 delivers.",,,,,,,"Highly effective traction, Impressive impact protection, Optimum comfort, Breathable upper, Reliable heel lockdown, Good lateral stability, Great outdoor option, Fashionable design","Lacks court feel, Poor upper durability, No outriggers on the sole",34.1,25.2,8.9,30.3,,,5.0,True to size,,5.0,4.0,110.5,86.3,,,13.65,387.0,4.0,1.0,1.0,85.8,,4.1,$105,No,9.0,,Finger loop,Yes,Medium,Normal,Normal,,14.1,,,38.8,103.1,76.5
Nike,Giannis Immortality 4,https://runrepeat.com/nike-giannis-immortality-4,,"Oct 25, 2024",Basketball,82.0,"Our verdict: The Giannis Immortality 4 is the new member of the budget that doesn't feel like a budget line of Nike. Its incredible support and stability favor hoopers with a quick playstyle. As it maintains the same design of its predecessors, it's very versatile, so it suits any position. We believe its affordability makes it a great option for a wide public, but it might not have enough impact protection for heavy players or big centers who focus on rebounding and constant jumping.",,,,,,,"Fantastic stability and support, Quite springy, Wide landing platform, Incredible lock-in feel, Pretty speedy on foot, Great grip on any surface, Super versatile (positionless), Excellent value for money","Not enough impact protection, Not for streetball",30.0,24.6,5.4,25.5,,,4.4,Slightly small,22.1,5.0,5.0,124.5,97.3,,,12.56,356.0,3.0,3.0,5.0,86.1,1.5,4.0,$85,No,8.2,Both sides (semi),,Yes,,,,,,,,32.1,96.75,73.05
Nike,Precision 7,https://runrepeat.com/nike-precision-7,,"Jul 3, 2024",Basketball,82.0,"Our verdict: We couldn't believe our eyes when we read the Precision 7 is a budget shoe from Nike. It performed incredibly well and got fantastic scores in our lab and wear tests! Its upper mixes durability and breathability perfectly, which allows us to play non-stop even on the hottest days of the summer. But there's more: its quality materials offer great support and stability for unexpected moves! Overall, we believe this shoe is fantastic for hoopers with a quick playstyle thanks to its lightweight design and low-profile nature, as we could feel the court under our feet. Nevertheless, its midsole and insole are pretty simple, which means no cool Nike technologies around!",,,,,,,"Super breathable structure, High-quality and durable upper, Solid and consistent grip, Amazingly lightweight, Improved stability and containment, Close contact with the court, OK for streetball, Incredible value for money, Recycled materials","Doesn't have any Nike technologies, No impact protection, Not for wide feet",27.3,20.9,6.4,27.1,,,4.8,Slightly small,21.5,4.0,4.0,120.2,90.3,,,11.61,329.0,5.0,5.0,3.0,88.0,0.9,4.4,$80,No,10.5,Both sides (full),Extended heel collar,Yes,,,,,,,,19.9,97.65,73.5
Puma,All Pro Nitro,https://runrepeat.com/puma-all-pro-nitro,,"Jan 29, 2024",Basketball,90.0,"Our verdict: Our test games and lab assessments reveal that the PUMA All Pro Nitro is a dependable basketball shoe, even on outdoor courts (occasionally). We were happy with the comfort, stability, and speedy lightness that we felt while wearing it. This offer from PUMA is surely a must-try!",,,,,,,"No-frills grip on floors, Feels quite stable, Secure foot containment, Good for occasional outdoor use, Dependable impact protection, Lightweight construction, Flexible structure","Not spacious enough for wide feet, So-so court feel",30.5,22.6,7.9,22.0,,,4.4,True to size,23.7,5.0,5.0,114.2,94.4,,,13.16,373.0,4.0,3.0,4.0,80.0,1.0,4.6,$130,No,10.0,Both sides (full),,Yes,,,,,35.0,,,24.45,96.45,70.5
Adidas,Anthony Edwards 1 Low,https://runrepeat.com/adidas-anthony-edwards-1-low,,"Mar 4, 2025",Basketball,89.0,"Our verdict: The Anthony Edwards 1 Low managed to leave us open-mouthed after our wear and lab tests. Its solid upper offered us wonderful containment and durability, so it was ready for our most aggressive plays. Its firm underfoot feel and cushioning also contributed to this, as we never lost our balance. But the best part is that its amazing traction and low profile kept us close to court and in control no matter what. Even though all this sounds like the perfect match for quick guards, thanks to our scale we found out this Adidas hooper is pretty heavy, which might not be faster players' cup of tea.",,,,,,,"Incredibly supportive, Extremely durable, Great stability and move control, Solid upper, Nice ground feel, Really cool style, Wonderful traction","Break-in period, Heavy, Not for streetball",29.1,19.5,9.6,31.0,,,4.2,True to size,23.1,5.0,5.0,115.3,94.1,,,15.77,447.0,3.0,4.0,4.0,81.6,0.8,4.3,$110,Yes,5.5,,Finger loop,Yes,,,,,36.0,,,33.75,99.3,67.6
Adidas,Harden Vol 9,https://runrepeat.com/adidas-harden-vol-9,,"Mar 7, 2025",Basketball,90.0,"Our verdict: The Vol. 8 was already a reliable solid performer, but it seems the Vol. 9 is here to double it up! It keeps the same solid and trustworthy design, featuring a durable yet breathable structure that offers wonderful support and containment. During our wear tests, we also noticed its snappy nature and bounce, as it pushed us back up every time we landed after a rebound or a jump shot. Nevertheless, despite being the lightest of their siblings, this hooper is still on the heavier side of its category. The solid lock-in feel and traction make this pair ideal for quick guards, but its weight might be a drawback.",,,,,,,"Wonderful containment and lock-in feel, Bouncy and supportive underfoot, Really durable overall, Great cushioning set-up, Quite breathable, A solid performer, Fantastic traction, Pretty comfortable","Snug fit, On the heavier side, Picks up dust",27.7,20.3,7.4,21.0,,,4.7,True to size,24.2,4.0,3.0,110.2,87.6,,,14.6,414.0,4.0,4.0,4.0,83.5,0.8,4.3,$160,No,5.0,Bootie,Finger loop,Yes,,,,,,,,32.2,90.9,65.3
Nike,Lebron 21,https://runrepeat.com/nike-lebron-21,,"Jun 17, 2024",Basketball,86.0,"Our verdict: LeBron shoes create a lot of hype in general, but the 21 is absolutely worth the energy. With Zoom Turbo in the forefoot, a shank in the midfoot, and Zoom Air in the heel, its cushioning system is spot on! We experienced a great mix of bounce and shock absorption, so playing in these hoopers was great fun. Despite being ready to jump, the 21 didn't feel unstable or wobbly, as its substantial structure made us surefooted in every single one of our game tests. Its high-quality materials definitely also made it a quite durable pair and helped us prevent ankle injuries. Just keep in mind that your feet will suffer throughout the long and harsh break-in period these LeBrons need. The shoe's skyrocketed price might hurt your wallet too, but it's definitely worth every penny!",,,,,,,"Wonderful performance overall, Amazing cushioning technologies, Nice bounce and shock absorption, High-quality materials, Great stability and supportive design, Good twist resistance, Effective grip, Eye-catching style","Not breathable, Rough and long break-in period, Pricey",26.6,22.4,4.2,26.5,,,5.7,Slightly small,,5.0,5.0,120.5,91.6,,,14.22,403.0,3.0,5.0,3.0,84.5,0.5,4.6,$210,No,12.5,,Pull tab,Yes,,,,,,,,43.1,102.7,75.7
Nike,Giannis Freak 6,https://runrepeat.com/nike-giannis-freak-6,,"Oct 25, 2024",Basketball,82.0,"Our verdict: The Giannis Freak 6 is back to be every player's cup of tea. Its versatility lets it fit different playstyles, as it feels fast yet stable on foot. No matter if you post-play a lot or if you're more of a dribble-tricky player, this Nike pair will work with you. It features a springy Zoom Air Unit and a low profile structure that balance each other out in the best way possible. Nevertheless, we believe it lacks support for its price, which was disappointing.",,,,,,,"Very stable overall, Great lockdown and containment, Zoom Air unit in the forefoot, Springy and bouncy, Pretty good court feel on a low profile, Feels speedy on foot, Amazing grip, Really versatile (positionless)","Not the most supportive, Outsole lacks durability",27.3,21.3,6.0,28.5,,,4.4,True to size,,5.0,4.0,119.1,87.3,,,12.31,349.0,3.0,3.0,2.0,87.0,1.8,3.6,$140,No,9.5,Both sides (full),,Yes,,,,,,,,36.6,100.5,75.6
New Balance,Fresh Foam Bb V2,https://runrepeat.com/new-balance-fresh-foam-bb-v2,,"Aug 23, 2024",Basketball,84.0,"Our verdict: New Balance is back with another hooper that features its wonderful Fresh Foam cushioning. The Fresh Foam BB v2 offers insane impact protection, and its structure is comfortable from the very first minute. Its upper is durable and very reinforced, so we could enjoy wonderful support during our games. This was also thanks to its double heel counter and its rubberized lateral walls, which wrapped around our feet comfortably. We believe one of the best selling points of this shoe is not just its solid traction even on dusty courts, but the fact that it protects your feet from any damage after jumping thanks to its shock-absorbing properties. We couldn't feel the court at all though, but we understand New Balance sacrificed that to offer the softest of landings.",,,,,,,"Incredibly comfortable from the box, Soft midsole with top tier impact protection, Super plush and padded interiors, Protective and reinforced upper, Great support overall, Constant and solid outsole grip, Fantastic cushioning in the heel, Smooth heel to toe transitions","No ground feel, Not a light shoe, Doesn't have a lot of bounce",34.9,25.6,9.3,13.1,,,4.9,Slightly small,25.2,5.0,3.0,114.4,92.3,,,14.11,400.0,1.0,4.0,3.0,87.9,0.7,3.7,$130,No,5.1,,,Yes,,,,,,,,27.8,95.75,76.4
Nike,Lebron 20,https://runrepeat.com/nike-lebron-20,,"Sep 26, 2022",Basketball,94.0,"Our verdict: The LeBron 20 definitely looks much more toned down, so it is visually different from the previous Nike LeBrons; yet, we found its performance as big as ever. It serves our needs for not only a lot of impact protection but also agility on the court. It's already a bonus that this shoe has the looks for off-the-court action.",,,,,,,"Amazing overall performance, Great traction, Tremendous impact protection, Pronounced court feel, Dependable bounciness, Comfortable upper, Incredible foot containment, Stylishly streamlined looks","Not for outdoors, Has to be broken in",27.0,22.6,4.4,25.5,,,4.0,True to size,,5.0,4.0,111.7,90.6,,,14.67,416.0,2.0,4.0,,82.6,,3.7,$200,No,6.3,Both sides (semi),,Yes,Medium,Tight,Normal,,,,,46.0,102.2,76.7
Adidas,Harden Volume 8,https://runrepeat.com/adidas-harden-volume-8,,"Aug 19, 2024",Basketball,89.0,"Our verdict: Harden is back with the Vol 8 of his bball beasts! This new iteration features a durable bootie construction that hugged our feet comfortably in every game we played. Its foot containment is just otherworldly, and its supportive structure helped us land confidently after rebounding. The best part of this is that its Jet Boost foam pushed us back up thanks to its bounce, keeping our feet comfortable due to fantastic shock-absorbing properties. Overall, the Adidas Harden Volume 8 is a smooth shoe that moved easily alongside our feet during our wear tests, but we didn't find it fast enough for players with quick footwork.",,,,,,,"Excellent foot containment, Crazy good traction, Fantastic shock-absorption and bounce, Feels very stable, Incredibly comfortable from minute 1, Supportive heel area, Smooth heel-to-toe transitions, Very easy to put on and off","Not a fast shoe, Not for wide feet, Not for streetball",28.2,20.6,7.6,15.5,,,4.1,True to size,,3.0,4.0,114.3,90.3,,,15.91,451.0,4.0,4.0,4.0,75.9,1.0,3.0,$160,No,6.1,Sock like,Finger loop,Yes,,,,,,,,31.5,113.2,78.1
